lot_id,lat,lon,capacity,occupancy,queue,traffic,is_special,vehicle_type,timestamp
1,40.71776714153011,-74.00738264301171,91,40,0,0.8417727190009512,False,car,2024-01-01 08:00:00
2,40.701681198819536,-74.00281097815311,94,61,0,0.8417727190009512,False,truck,2024-01-01 08:00:00
3,40.69269037110256,-74.01092803424963,43,31,0,0.8417727190009512,False,car,2024-01-01 08:00:00
4,40.70797381203552,-74.0043583518016,49,30,0,0.8417727190009512,False,car,2024-01-01 08:00:00
5,40.706991218659766,-74.01125169807179,40,24,0,0.8417727190009512,False,car,2024-01-01 08:00:00
6,40.72742378120346,-73.99061285032386,68,40,0,0.8417727190009512,False,car,2024-01-01 08:00:00
7,40.68840894184944,-73.99996558774961,79,58,0,0.8417727190009512,False,car,2024-01-01 08:00:00
8,40.70576656198293,-74.02739620656077,66,45,0,0.8417727190009512,False,bike,2024-01-01 08:00:00
9,40.69803670306845,-73.99113019041953,83,60,0,0.8417727190009512,False,car,2024-01-01 08:00:00
10,40.72414339265503,-74.00704745548305,26,14,0,0.8417727190009512,False,bike,2024-01-01 08:00:00
11,40.706797461498944,-73.99652560178953,72,43,0,0.8417727190009512,False,car,2024-01-01 08:00:00
12,40.705309234765565,-74.01378382007091,79,46,0,0.8417727190009512,False,car,2024-01-01 08:00:00
13,40.71266502775262,-74.01657710928956,66,40,0,0.8417727190009512,False,car,2024-01-01 08:00:00
14,40.70893527049436,-74.01758770241925,69,49,0,0.8417727190009512,False,car,2024-01-01 08:00:00
1,40.71776714153011,-74.00738264301171,91,72,0,1.0,False,bike,2024-01-01 08:30:00
2,40.701681198819536,-74.00281097815311,94,73,0,1.0,False,car,2024-01-01 08:30:00
3,40.69269037110256,-74.01092803424963,43,28,0,1.0,False,car,2024-01-01 08:30:00
4,40.70797381203552,-74.0043583518016,49,34,0,1.0,False,car,2024-01-01 08:30:00
5,40.706991218659766,-74.01125169807179,40,22,0,1.0,False,car,2024-01-01 08:30:00
6,40.72742378120346,-73.99061285032386,68,54,1,1.0,False,car,2024-01-01 08:30:00
7,40.68840894184944,-73.99996558774961,79,49,0,1.0,False,car,2024-01-01 08:30:00
8,40.70576656198293,-74.02739620656077,66,51,0,1.0,False,car,2024-01-01 08:30:00
9,40.69803670306845,-73.99113019041953,83,65,1,1.0,False,bike,2024-01-01 08:30:00
10,40.72414339265503,-74.00704745548305,26,19,0,1.0,False,bike,2024-01-01 08:30:00
11,40.706797461498944,-73.99652560178953,72,48,0,1.0,False,car,2024-01-01 08:30:00
12,40.705309234765565,-74.01378382007091,79,60,0,1.0,False,car,2024-01-01 08:30:00
13,40.71266502775262,-74.01657710928956,66,48,0,1.0,False,car,2024-01-01 08:30:00
14,40.70893527049436,-74.01758770241925,69,50,0,1.0,False,car,2024-01-01 08:30:00
1,40.71776714153011,-74.00738264301171,91,58,0,0.890587265306702,False,car,2024-01-01 09:00:00
2,40.701681198819536,-74.00281097815311,94,79,0,0.890587265306702,False,truck,2024-01-01 09:00:00
3,40.69269037110256,-74.01092803424963,43,28,0,0.890587265306702,False,truck,2024-01-01 09:00:00
4,40.70797381203552,-74.0043583518016,49,32,0,0.890587265306702,False,car,2024-01-01 09:00:00
5,40.706991218659766,-74.01125169807179,40,19,0,0.890587265306702,False,car,2024-01-01 09:00:00
6,40.72742378120346,-73.99061285032386,68,45,0,0.890587265306702,False,car,2024-01-01 09:00:00
7,40.68840894184944,-73.99996558774961,79,48,0,0.890587265306702,False,car,2024-01-01 09:00:00
8,40.70576656198293,-74.02739620656077,66,46,0,0.890587265306702,False,car,2024-01-01 09:00:00
9,40.69803670306845,-73.99113019041953,83,52,0,0.890587265306702,False,car,2024-01-01 09:00:00
10,40.72414339265503,-74.00704745548305,26,20,0,0.890587265306702,False,bike,2024-01-01 09:00:00
11,40.706797461498944,-73.99652560178953,72,52,0,0.890587265306702,False,car,2024-01-01 09:00:00
12,40.705309234765565,-74.01378382007091,79,56,0,0.890587265306702,False,bike,2024-01-01 09:00:00
13,40.71266502775262,-74.01657710928956,66,57,0,0.890587265306702,False,car,2024-01-01 09:00:00
14,40.70893527049436,-74.01758770241925,69,45,0,0.890587265306702,False,car,2024-01-01 09:00:00
1,40.71776714153011,-74.00738264301171,91,56,0,0.6993048691767602,True,car,2024-01-01 09:30:00
2,40.701681198819536,-74.00281097815311,94,73,0,0.6993048691767602,True,car,2024-01-01 09:30:00
3,40.69269037110256,-74.01092803424963,43,36,0,0.6993048691767602,True,car,2024-01-01 09:30:00
4,40.70797381203552,-74.0043583518016,49,37,0,0.6993048691767602,True,truck,2024-01-01 09:30:00
5,40.706991218659766,-74.01125169807179,40,29,0,0.6993048691767602,True,bike,2024-01-01 09:30:00
6,40.72742378120346,-73.99061285032386,68,56,0,0.6993048691767602,True,car,2024-01-01 09:30:00
7,40.68840894184944,-73.99996558774961,79,59,1,0.6993048691767602,True,car,2024-01-01 09:30:00
8,40.70576656198293,-74.02739620656077,66,50,0,0.6993048691767602,True,car,2024-01-01 09:30:00
9,40.69803670306845,-73.99113019041953,83,69,2,0.6993048691767602,True,car,2024-01-01 09:30:00
10,40.72414339265503,-74.00704745548305,26,21,0,0.6993048691767602,True,bike,2024-01-01 09:30:00
11,40.706797461498944,-73.99652560178953,72,58,0,0.6993048691767602,True,car,2024-01-01 09:30:00
12,40.705309234765565,-74.01378382007091,79,55,0,0.6993048691767602,True,car,2024-01-01 09:30:00
13,40.71266502775262,-74.01657710928956,66,43,0,0.6993048691767602,True,bike,2024-01-01 09:30:00
14,40.70893527049436,-74.01758770241925,69,58,0,0.6993048691767602,True,car,2024-01-01 09:30:00
1,40.71776714153011,-74.00738264301171,91,48,0,0.49267522584886436,False,car,2024-01-01 10:00:00
2,40.701681198819536,-74.00281097815311,94,38,0,0.49267522584886436,False,car,2024-01-01 10:00:00
3,40.69269037110256,-74.01092803424963,43,22,0,0.49267522584886436,False,car,2024-01-01 10:00:00
4,40.70797381203552,-74.0043583518016,49,28,0,0.49267522584886436,False,car,2024-01-01 10:00:00
5,40.706991218659766,-74.01125169807179,40,18,0,0.49267522584886436,False,bike,2024-01-01 10:00:00
6,40.72742378120346,-73.99061285032386,68,52,0,0.49267522584886436,False,car,2024-01-01 10:00:00
7,40.68840894184944,-73.99996558774961,79,40,0,0.49267522584886436,False,bike,2024-01-01 10:00:00
8,40.70576656198293,-74.02739620656077,66,25,0,0.49267522584886436,False,truck,2024-01-01 10:00:00
9,40.69803670306845,-73.99113019041953,83,45,0,0.49267522584886436,False,truck,2024-01-01 10:00:00
10,40.72414339265503,-74.00704745548305,26,12,0,0.49267522584886436,False,car,2024-01-01 10:00:00
11,40.706797461498944,-73.99652560178953,72,40,0,0.49267522584886436,False,truck,2024-01-01 10:00:00
12,40.705309234765565,-74.01378382007091,79,43,0,0.49267522584886436,False,truck,2024-01-01 10:00:00
13,40.71266502775262,-74.01657710928956,66,32,0,0.49267522584886436,False,bike,2024-01-01 10:00:00
14,40.70893527049436,-74.01758770241925,69,28,0,0.49267522584886436,False,bike,2024-01-01 10:00:00
